ISO Country code,Region
AFG,South Asia
ALB,Europe & Central Asia
DZA,Middle East & North Africa
AGO,Sub-Saharan Africa
ARG,Americas
ARM,Europe & Central Asia
AUS,East Asia & Pacific
AUT,Europe & Central Asia
AZE,Europe & Central Asia
BHS,Americas
BHR,Middle East & North Africa
BGD,South Asia
BRB,Americas
BLR,Europe & Central Asia
BEL,Europe & Central Asia
BLZ,Americas
BEN,Sub-Saharan Africa
BTN,South Asia
BOL,Americas
BIH,Europe & Central Asia
BWA,Sub-Saharan Africa
BRA,Americas
BRN,East Asia & Pacific
BGR,Europe & Central Asia
BFA,Sub-Saharan Africa
BDI,Sub-Saharan Africa
KHM,East Asia & Pacific
CMR,Sub-Saharan Africa
CAN,Americas
CPV,Sub-Saharan Africa
CAF,Sub-Saharan Africa
TCD,Sub-Saharan Africa
CHL,Americas
CHN,East Asia & Pacific
COL,Americas
COM,Sub-Saharan Africa
COG,Sub-Saharan Africa
CRI,Americas
CIV,Sub-Saharan Africa
HRV,Europe & Central Asia
CUB,Americas
CYP,Europe & Central Asia
CZE,Europe & Central Asia
DNK,Europe & Central Asia
DJI,Middle East & North Africa
DMA,Americas
DOM,Americas
ECU,Americas
EGY,Middle East & North Africa
SLV,Americas
GNQ,Sub-Saharan Africa
ERI,Sub-Saharan Africa
EST,Europe & Central Asia
SWZ,Sub-Saharan Africa
ETH,Sub-Saharan Africa
FJI,East Asia & Pacific
FIN,Europe & Central Asia
FRA,Europe & Central Asia
GAB,Sub-Saharan Africa
GMB,Sub-Saharan Africa
GEO,Europe & Central Asia
DEU,Europe & Central Asia
GHA,Sub-Saharan Africa
GRC,Europe & Central Asia
GRD,Americas
GTM,Americas
GIN,Sub-Saharan Africa
GNB,Sub-Saharan Africa
GUY,Americas
HTI,Americas
HND,Americas
HUN,Europe & Central Asia
ISL,Europe & Central Asia
IND,South Asia
IDN,East Asia & Pacific
IRN,Middle East & North Africa
IRQ,Middle East & North Africa
IRL,Europe & Central Asia
ISR,Middle East & North Africa
ITA,Europe & Central Asia
JAM,Americas
JPN,East Asia & Pacific
JOR,Middle East & North Africa
KAZ,Europe & Central Asia
KEN,Sub-Saharan Africa
KIR,East Asia & Pacific
KWT,Middle East & North Africa
KGZ,Europe & Central Asia
LAO,East Asia & Pacific
LVA,Europe & Central Asia
LBN,Middle East & North Africa
LSO,Sub-Saharan Africa
LBR,Sub-Saharan Africa
LBY,Middle East & North Africa
LTU,Europe & Central Asia
LUX,Europe & Central Asia
MDG,Sub-Saharan Africa
MWI,Sub-Saharan Africa
MYS,East Asia & Pacific
MDV,South Asia
MLI,Sub-Saharan Africa
MLT,Europe & Central Asia
MHL,East Asia & Pacific
MRT,Sub-Saharan Africa
MUS,Sub-Saharan Africa
MEX,Americas
FSM,East Asia & Pacific
MDA,Europe & Central Asia
MNG,East Asia & Pacific
MNE,Europe & Central Asia
MAR,Middle East & North Africa
MOZ,Sub-Saharan Africa
MMR,East Asia & Pacific
NAM,Sub-Saharan Africa
NPL,South Asia
NLD,Europe & Central Asia
NZL,East Asia & Pacific
NIC,Americas
NER,Sub-Saharan Africa
NGA,Sub-Saharan Africa
PRK,East Asia & Pacific
MKD,Europe & Central Asia
NOR,Europe & Central Asia
OMN,Middle East & North Africa
PAK,South Asia
PLW,East Asia & Pacific
PAN,Americas
PNG,East Asia & Pacific
PRY,Americas
PER,Americas
PHL,East Asia & Pacific
POL,Europe & Central Asia
PRT,Europe & Central Asia
QAT,Middle East & North Africa
ROU,Europe & Central Asia
RUS,Europe & Central Asia
RWA,Sub-Saharan Africa
KNA,Americas
LCA,Americas
VCT,Americas
WSM,East Asia & Pacific
STP,Sub-Saharan Africa
SAU,Middle East & North Africa
SEN,Sub-Saharan Africa
SRB,Europe & Central Asia
SYC,Sub-Saharan Africa
SLE,Sub-Saharan Africa
SGP,East Asia & Pacific
SVK,Europe & Central Asia
SVN,Europe & Central Asia
SLB,East Asia & Pacific
SOM,Sub-Saharan Africa
ZAF,Sub-Saharan Africa
KOR,East Asia & Pacific
SSD,Sub-Saharan Africa
ESP,Europe & Central Asia
LKA,South Asia
SDN,Sub-Saharan Africa
SUR,Americas
SWE,Europe & Central Asia
CHE,Europe & Central Asia
SYR,Middle East & North Africa
TWN,East Asia & Pacific
TJK,Europe & Central Asia
TZA,Sub-Saharan Africa
THA,East Asia & Pacific
TLS,East Asia & Pacific
TGO,Sub-Saharan Africa
TON,East Asia & Pacific
TTO,Americas
TUN,Middle East & North Africa
TUR,Europe & Central Asia
TKM,Europe & Central Asia
UGA,Sub-Saharan Africa
UKR,Europe & Central Asia
ARE,Middle East & North Africa
GBR,Europe & Central Asia
USA,Americas
URY,Americas
UZB,Europe & Central Asia
VUT,East Asia & Pacific
VEN,Americas
VNM,East Asia & Pacific
YEM,Middle East & North Africa
ZMB,Sub-Saharan Africa
ZWE,Sub-Saharan Africa
